Brand,Model,Release Date,Sensor,DPI,Button,Connection,RGB,Length (mm),Width (mm),Height (mm),Weight (g),Price (USD)
ZOWIE,ZA13,Oct-2016,PixArt PMW3310,3200,5,Wired,No,120,62,38,80,$59.99
SteelSeries,RIVAL 500,Sep-2016,PixArt PMW3360,16000,15,Wired,Yes,118.6,78.3,43.3,129,$87.99
Logitech,G403,Sep-2016,PixArt PMW3366,12000,6,Wired,Yes,124,68,43,87.3|97.3,$69.99
Razer,DeathAdder Elite,Sep-2016,Razer 5G,16000,7,Wired,Yes,127,70,44,105,$69.99
ZOWIE,FK1+,Apr-2016,N/A,3200,5,Wired,No,128,68,38,95,$59.99
Corsair,M65 PRO RGB,Mar-2016,PixArt PMW3360,12000,8,Wired,Yes,118,72,39,115,$59.99
ZOWIE,FK2,Dec-2014,N/A,3200,5,Wired,No,124,64,36,85,$59.99
Corsair,Sabre RGB,Oct-2014,ADNS-S3988,10000,8,Wired,Yes,124,80,38,100,$49.99
ZOWIE,FK1,Jun-2014,N/A,3200,5,Wired,No,128,67,37,90,$59.99
Logitech,G602,Aug-2013,Delta Zero,2500,11,Wireless,No,139,83,44,129.4|153.8,$49.99
Logitech,G600,Nov-2012,Avago S9808,8200,20,Wired,Yes,118,75,41,133,$59.99
